"","Size","MinSize","Net","Tow","Station","FinalizedWeight","Site","MaxDepth","MinDepth","Cycle.Day","DielPattern","WaterType","SalpType","Latitude_Start","Longitude_Start","Temperature","PotentialTemperature","Salinity","Density","Transmissivity","Fluorescence","Oxygen","BiomassmgCm3","DepthZone","Cycle","condensedBiomass","ID"
"C1D4_T4_N5_02","0.2-0.5","02",5,4,50,0.123758864027539,"C1D4",100,68,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,9.4,9.4,34.59,26.73,0.35,0.09,6.2,0.377313609840057,"Epipelagic","C1",0.377313609840057,"SA1"
"C1D4_T4_N5_05","0.5-1","05",5,4,50,0.561496373779637,"C1D4",100,68,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,9.4,9.4,34.59,26.73,0.35,0.09,6.2,1.71187918835255,"Epipelagic","C1",1.71187918835255,"SA1"
"C1D4_T4_N5_1","1-2","1",5,4,50,0.558165485074627,"C1D4",100,68,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,9.4,9.4,34.59,26.73,0.35,0.09,6.2,1.70172403986167,"Epipelagic","C1",3.50241645237482,"SA1"
"C1D4_T4_N4_02","0.2-0.5","02",4,4,50,0.223986301369863,"C1D4",200,100,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,9,9,34.54,26.75,0.35,0.09,6.3,0.622184170471842,"Epipelagic","C1",0.622184170471842,"SA1"
"C1D4_T4_N4_05","0.5-1","05",4,4,50,0.402645924967658,"C1D4",200,100,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,9,9,34.54,26.75,0.35,0.09,6.3,1.11846090268794,"Epipelagic","C1",1.11846090268794,"SA1"
"C1D4_T4_N4_1","1-2","1",4,4,50,0.408160102739726,"C1D4",200,100,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,9,9,34.54,26.75,0.35,0.09,6.3,1.13377806316591,"Epipelagic","C1",6.29103080986525,"SA1"
"C1D4_T4_N8_02","0.2-0.5","02",8,4,50,0.273837194127243,"C1D4",30,0,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,10.2,10.2,34.62,26.62,0.47,0.19,7,0.758551784285992,"Epipelagic","C1",0.758551784285992,"SA1"
"C1D4_T4_N8_05","0.5-1","05",8,4,50,0.370589889549703,"C1D4",30,0,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,10.2,10.2,34.62,26.62,0.47,0.19,7,1.02656479099641,"Epipelagic","C1",1.02656479099641,"SA1"
"C1D4_T4_N8_1","1-2","1",8,4,50,0.0466651162790698,"C1D4",30,0,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,10.2,10.2,34.62,26.62,0.47,0.19,7,0.129266250080526,"Epipelagic","C1",0.507924645872356,"SA1"
"C1D4_T4_N3_02","0.2-0.5","02",3,4,50,0.142288222698073,"C1D4",300,200,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,8.6,8.5,34.47,26.78,0.34,0.09,6.2,0.15226134050088,"Mesopelagic","C1",0.15226134050088,"SA1"
"C1D4_T4_N3_05","0.5-1","05",3,4,50,0.635683860232945,"C1D4",300,200,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,8.6,8.5,34.47,26.78,0.34,0.09,6.2,0.68023955081107,"Mesopelagic","C1",0.68023955081107,"SA1"
"C1D4_T4_N3_1","1-2","1",3,4,50,0.735959860383944,"C1D4",300,200,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,8.6,8.5,34.47,26.78,0.34,0.09,6.2,0.787543991850127,"Mesopelagic","C1",6.22046929207456,"SA1"
"C1D4_T4_N7_02","0.2-0.5","02",7,4,50,0.338427794561934,"C1D4",50,30,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,10,10,34.61,26.66,0.37,0.11,6.7,1.0987915407855,"Epipelagic","C1",1.0987915407855,"SA1"
"C1D4_T4_N7_05","0.5-1","05",7,4,50,0.615324576271187,"C1D4",50,30,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,10,10,34.61,26.66,0.37,0.11,6.7,1.99780706581554,"Epipelagic","C1",1.99780706581554,"SA1"
"C1D4_T4_N7_1","1-2","1",7,4,50,0.579875065770243,"C1D4",50,30,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,10,10,34.61,26.66,0.37,0.11,6.7,1.88271125250079,"Epipelagic","C1",2.85317610254905,"SA1"
"C1D4_T4_N2_02","0.2-0.5","02",2,4,50,0.0864857142857143,"C1D4",500,300,"C1D4","Night","Subantarctic","Salp",-44.4928,174.109,8,7.9,34.41,26.82,0.33,0.09,6.1,0.135983827493261,"Mesopelagic","C1",0.135983827493261,"SA1"
